astar_cost,astar_expanded,astar_time_ms,wastar_cost,wastar_expanded,wastar_time_ms,wastar_cost_ratio,wastar_expansion_reduction,qstar_cost,qstar_expanded,qstar_time_ms,qstar_cost_ratio,qstar_expansion_reduction,q_train_time_ms,width,height,density,q_episodes
36.2842712474619,105,0.31304359436035156,36.2842712474619,32,0.10204315185546875,1.0,69.52380952380952,38.87005768508881,73,0.2980232238769531,1.0712646650663484,30.476190476190478,667.6418781280518,25,25,0.25,600
35.698484809835,137,0.36597251892089844,35.69848480983501,29,0.09799003601074219,1.0000000000000002,78.83211678832117,35.69848480983501,29,0.17499923706054688,1.0000000000000002,78.83211678832117,3983.367919921875,25,25,0.25,600
36.28427124746191,157,0.4260540008544922,36.28427124746191,37,0.10895729064941406,1.0,76.43312101910828,36.28427124746191,34,0.16307830810546875,1.0,78.343949044586,4031.275749206543,25,25,0.25,600
36.87005768508881,155,0.392913818359375,36.8700576850888,36,0.09799003601074219,0.9999999999999998,76.77419354838709,42.52691193458118,44,0.21195411682128906,1.1534267805547846,71.61290322580645,687.171220779419,25,25,0.25,600
inf,452,1.0440349578857422,inf,452,1.2290477752685547,inf,0.0,inf,452,1.4781951904296875,inf,0.0,3886.1072063446045,25,25,0.25,600
36.2842712474619,146,0.39458274841308594,36.87005768508881,31,0.1010894775390625,1.0161443627634628,78.76712328767124,38.87005768508881,58,0.24008750915527344,1.0712646650663484,60.273972602739725,643.3899402618408,25,25,0.25,600
35.69848480983501,137,0.3650188446044922,36.28427124746191,33,0.11110305786132812,1.0164092801346436,75.91240875912408,37.698484809835,74,0.31304359436035156,1.0560247867844796,45.98540145985402,791.2509441375732,25,25,0.25,600
35.1126983722081,54,0.1609325408935547,36.2842712474619,29,0.09775161743164062,1.0333660735166144,46.29629629629629,45.455844122715696,72,0.28896331787109375,1.2945699484803552,-33.33333333333333,677.7629852294922,25,25,0.25,600
35.112698372208094,69,0.18978118896484375,35.1126983722081,27,0.08893013000488281,1.0000000000000002,60.86956521739131,37.112698372208094,39,0.2071857452392578,1.0569594503617816,43.47826086956522,618.4842586517334,25,25,0.25,600
37.45584412271571,203,0.5366802215576172,39.45584412271571,38,0.12183189392089844,1.0533962068361735,81.2807881773399,38.62741699796952,93,0.4010200500488281,1.0312787737853515,54.187192118226605,946.8460083007812,25,25,0.25,600
35.698484809835,128,0.3437995910644531,35.69848480983501,28,0.09512901306152344,1.0000000000000002,78.125,35.698484809835,128,0.4038810729980469,1.0,0.0,717.858076095581,25,25,0.25,600
37.45584412271572,217,0.5083084106445312,37.45584412271572,42,0.10895729064941406,1.0,80.64516129032258,42.04163056034261,85,0.34809112548828125,1.1224318005650222,60.82949308755761,741.1980628967285,25,25,0.25,600
35.112698372208094,108,0.30493736267089844,35.1126983722081,27,0.09584426879882812,1.0000000000000002,75.0,36.2842712474619,48,0.2238750457763672,1.0333660735166146,55.55555555555556,668.7829494476318,25,25,0.25,600
35.698484809835,154,0.41103363037109375,35.698484809835,29,0.09918212890625,1.0,81.16883116883116,37.45584412271572,65,0.2999305725097656,1.049227840403931,57.7922077922078,697.7629661560059,25,25,0.25,600
36.28427124746191,172,0.4436969757080078,37.45584412271572,32,0.09226799011230469,1.0322887255269253,81.3953488372093,40.04163056034261,58,0.2510547637939453,1.1035533905932733,66.27906976744187,725.7390022277832,25,25,0.25,600
37.112698372208094,205,0.5271434783935547,37.112698372208094,30,0.09512901306152344,1.0,85.36585365853658,37.112698372208094,205,0.6511211395263672,1.0,0.0,713.4871482849121,25,25,0.25,600
34.52691193458119,53,0.15497207641601562,34.52691193458119,26,0.08702278137207031,1.0,50.943396226415096,38.62741699796952,51,0.31113624572753906,1.1187625777584058,3.7735849056603765,907.304048538208,25,25,0.25,600
35.112698372208094,58,0.2570152282714844,35.112698372208094,27,0.08988380432128906,1.0,53.448275862068975,42.284271247461895,74,0.4169940948486328,1.2042444246019595,-27.586206896551737,798.8288402557373,25,25,0.25,600
35.1126983722081,116,0.308990478515625,35.698484809835,28,0.09584426879882812,1.0166830367583073,75.86206896551724,39.4558441227157,71,0.308990478515625,1.1236915973950103,38.793103448275865,631.9320201873779,25,25,0.25,600
36.87005768508881,149,0.38814544677734375,36.87005768508881,30,0.09107589721679688,1.0,79.86577181208054,42.041630560342604,72,0.2598762512207031,1.1402648436144245,51.67785234899329,699.8262405395508,25,25,0.25,600
