Algorithm,Mean Expansions,Std Expansions,Mean Runtime (ms),Std Runtime (ms),Mean Cost Ratio,Mean Cost,Expansion Reduction %
A*,148.75,86.29928035316219,0.39185285568237305,0.18851369533854914,1.0,inf,0.0
Weighted A*,52.15,94.21044472210521,0.1553535461425781,0.25286389338332105,inf,inf,69.32545652192152
Q*-A*,91.25,93.20541829743591,0.36257505416870117,0.2842111878801219,inf,inf,36.84856566305485
